signal_id,r_ind,r_mean,r_variance,r_std,r_skewness,r_energy,d_ind,d_mean,d_variance,d_std,d_skewness,d_energy
sound_0,24,-8.380028493729716e-06,5.194186566670831e-09,7.207070532935577e-05,-2.7343924816230872e-05,7.89661716633983e-08,5562,-8.157583970660923e-06,2.290659218023698e-10,1.5134923911350523e-05,3.65874546566974e-07,4.434181470611309e-09
sound_0,25,-6.606596897207087e-06,3.3485504054632274e-09,5.786666056947841e-05,-3.391000862836157e-06,5.088296292038121e-08,5550,-6.382036700342373e-06,3.603381524737e-10,1.8982574969526657e-05,-5.309504562044849e-08,6.016028173773254e-09
sound_0,26,1.1565829714835556e-05,8.443779421242333e-09,9.189003983698305e-05,-9.111270420691678e-06,1.286632175735236e-07,2803,1.0520359787592449e-05,3.5915144083951455e-10,1.895129127103255e-05,7.620968343832572e-07,7.047441163498601e-09
sound_0,27,1.7915728961637805e-05,1.0869491925717057e-09,3.29689125172746e-05,2.2830286664730328e-06,2.1118838051978604e-08,5597,1.2970982714294727e-05,1.9141553714235874e-10,1.3835300399426055e-05,-3.4322837336191037e-09,5.39492894575337e-09
sound_0,28,-7.902237126920758e-06,2.4928390923788607e-09,4.992833957161865e-05,2.29904460692069e-06,3.832926665983419e-08,7171,-6.385536069315015e-06,3.2340666477988414e-10,1.7983510913608726e-05,-1.8533967583043555e-07,5.462726035086108e-09
sound_0,29,-3.6140354544099806e-06,3.5554064123084627e-09,5.9627228782733674e-05,5.155335302751311e-06,5.352701496861293e-08,29,-4.642131018012767e-06,3.043200805579337e-10,1.744477229882734e-05,9.050560881886413e-07,4.888041914194951e-09
sound_0,30,-4.5607710385020676e-06,7.584958073374886e-10,2.754080259065608e-05,3.224327559201378e-07,1.1689446597046919e-08,2769,-4.931627613937819e-06,1.2216150976673708e-10,1.1052669802664743e-05,-5.453049296499604e-09,2.197236910339367e-09
sound_0,31,-3.3939075659451084e-05,3.663829028952639e-09,6.0529571524608024e-05,-2.6047322021646128e-05,7.223534828355875e-08,5449,-1.4707428485577401e-05,2.7522010060658973e-10,1.658975890742809e-05,-5.356537499358652e-07,7.37292829897445e-09
sound_0,32,2.6732422518812002e-05,2.594494774087088e-09,5.0936183348255376e-05,1.119664766639391e-05,4.963675781717062e-08,5597,1.2970982714294727e-05,1.9141553714235874e-10,1.3835300399426055e-05,-3.4322837336191037e-09,5.39492894575337e-09
sound_0,33,7.295384877064036e-06,2.5265709206923922e-09,5.0265006920246135e-05,9.613349425554276e-06,3.8696903417953305e-08,8454,7.892132043103282e-06,2.223313815987608e-10,1.491078071727838e-05,2.9998221171745826e-08,4.269256946768075e-09
sound_0,34,1.3004558427038788e-05,4.653884751313905e-09,6.821938691687214e-05,-7.559447452564082e-07,7.234504936794255e-08,7258,1.3671858537854809e-05,6.983577275064641e-10,2.6426458852946305e-05,2.468647315102713e-06,1.3279161650783661e-08
sound_0,35,1.202994117454892e-05,2.82104102859906e-09,5.31134731362868e-05,6.9856745921834445e-06,4.4486407698932505e-08,5425,7.364086931581604e-06,1.9471036955550122e-10,1.3953865756681953e-05,1.8436211041745147e-07,3.734102188370884e-09
sound_0,36,-4.27866669445306e-05,4.2628898785138805e-09,6.529081006170685e-05,-3.2046684273211306e-05,9.140383120104103e-08,8362,-1.536488763547736e-05,4.2699085020649065e-10,2.0663756923814475e-05,-1.8121294159926702e-06,9.946059333860035e-09
sound_0,37,-6.54879535289444e-06,1.5373275048241373e-09,3.920876821355317e-05,-2.634883635819506e-06,2.370321338097344e-08,35,-5.381231865691666e-06,1.99040109340483e-10,1.4108157545919416e-05,-1.6652293584501325e-08,3.419966485992277e-09
sound_0,38,-2.217704170699454e-05,6.176183139457794e-09,7.858869600303719e-05,-2.330741185862579e-05,1.0002006477497352e-07,2787,-2.5439025946872273e-05,2.1852424507064823e-09,4.6746576887580575e-05,-3.2803833221681193e-06,4.2485797377481846e-08
sound_0,39,2.8795546677814438e-05,2.5330557346204805e-09,5.0329471829341506e-05,1.0682500221206394e-05,5.043358864642006e-08,5597,1.2970982714294727e-05,1.9141553714235874e-10,1.3835300399426055e-05,-3.4322837336191037e-09,5.39492894575337e-09
